"continent","location","correlation"
"South America","Brazil","-0.7480337056442025"
"South America","Peru","-0.7281693327612359"
"Asia","Iran","-0.7151028648354052"
"Oceania","Solomon Islands","-0.7081114308112444"
"Europe","Czechia","-0.6955047394496603"
"Oceania","New Caledonia","-0.6854663358426326"
"South America","Uruguay","-0.6777619465782757"
"South America","Argentina","-0.6745558445796398"
"North America","Cuba","-0.6542826543059365"
"Oceania","Samoa","-0.6362748149646764"
"Asia","Kuwait","-0.6339237862915991"
"Asia","Syria","-0.6324840216010847"
"Asia","United Arab Emirates","-0.6296138991453941"
"North America","Jamaica","-0.6146469376062283"
"Asia","Qatar","-0.6077835429121035"
"North America","Nicaragua","-0.5869639868365988"
"Europe","Netherlands","-0.5810773457083818"
"Asia","Iraq","-0.5778166531153096"
"Europe","Italy","-0.5723071081066529"
"Africa","Libya","-0.5692573961382275"
"North America","Dominican Republic","-0.564340336859805"
"Europe","Belarus","-0.5627845190356702"
"Africa","Togo","-0.5598443192066404"
"Africa","Angola","-0.5541827214145353"
"Europe","Belgium","-0.5376938990819157"
"Europe","France","-0.5364310673582966"
"Africa","Tanzania","-0.530129587730259"
"Asia","India","-0.5053189016020179"
"North America","United States","-0.49942527881892573"
"Asia","Afghanistan","-0.48760137513320906"
"Asia","Pakistan","-0.4874512145121747"
"Africa","Benin","-0.4873213594259477"
"Europe","Kosovo","-0.48283734098241127"
"Oceania","Tonga","-0.48211642589248394"
"Europe","Poland","-0.47936361281396767"
"Europe","United Kingdom","-0.47131618189796465"
"Europe","Switzerland","-0.4676176131885349"
"Asia","Timor","-0.4482714671791937"
"Africa","South Africa","-0.4399741834350499"
"Europe","Austria","-0.43108689888769525"
"South America","Bolivia","-0.43099682773654363"
"Asia","Jordan","-0.42497009087075066"
"Europe","Gibraltar","-0.4239476093647737"
"North America","Dominica","-0.4215272453409878"
"Europe","Portugal","-0.4175287680060159"
"Europe","Monaco","-0.4142156422759733"
"South America","Colombia","-0.40932990943573994"
"Africa","Guinea-Bissau","-0.4090353997793075"
"Asia","Tajikistan","-0.4045780510504706"
"Asia","Lebanon","-0.39656855827379633"
"Europe","Montenegro","-0.3962934052412074"
"Asia","Israel","-0.39510576347451354"
"Europe","Bulgaria","-0.38969313733666844"
"Europe","Ireland","-0.3890379960723349"
"Africa","Mozambique","-0.3776908550941213"
"Europe","Croatia","-0.3733785281797894"
"Africa","Kenya","-0.3716102673303979"
"Africa","Botswana","-0.3701016734235625"
"Africa","Algeria","-0.3686814882988235"
"Africa","Lesotho","-0.36824900965028334"
"Asia","Bangladesh","-0.3652041781875943"
"Asia","Cambodia","-0.3647637001222829"
"Oceania","Fiji","-0.3631135423063453"
"Asia","Yemen","-0.3606287172643504"
"Europe","Germany","-0.35378421193485343"
"North America","Honduras","-0.34994435554262016"
"Europe","Lithuania","-0.3476274720718383"
"North America","Mexico","-0.34742638219527483"
"Asia","Kyrgyzstan","-0.33965375513986823"
"Europe","Estonia","-0.3394931893568266"
"North America","Curacao","-0.33481989392870215"
"Asia","Malaysia","-0.3343466085109061"
"Asia","Indonesia","-0.32249760675030964"
"Europe","Luxembourg","-0.32149298027275225"
"Africa","Mali","-0.32117273394128937"
"Europe","Slovakia","-0.32108915372958197"
"Africa","Egypt","-0.3192733750680169"
"Africa","Somalia","-0.3170054804261362"
"Africa","Djibouti","-0.3079389131613762"
"Oceania","Vanuatu","-0.3073327749586058"
"Asia","Turkey","-0.30423558613682367"
"Asia","Uzbekistan","-0.30163988169902045"
"Asia","Bahrain","-0.28798173850236547"
"Africa","Tunisia","-0.2824499141230838"
"North America","Costa Rica","-0.28108906247215754"
"Africa","Liberia","-0.2689400275866819"
"Asia","Myanmar","-0.2634685486073604"
"Africa","Cape Verde","-0.26169393919051886"
"Africa","Cameroon","-0.2588746431847807"
"North America","Panama","-0.25633281781639616"
"Africa","Zimbabwe","-0.25392706428267076"
"Asia","Nepal","-0.2505345359673578"
"North America","Anguilla","-0.23810053278552484"
"Africa","Madagascar","-0.2342607341753966"
"South America","Guyana","-0.23100300094655057"
"Africa","Ghana","-0.22362028936179226"
"Africa","Niger","-0.2230254889626439"
"Africa","South Sudan","-0.21226092161642438"
"Africa","Zambia","-0.20783950732243206"
"Africa","Mauritania","-0.20675867814891852"
"Africa","Central African Republic","-0.20550688572480988"
"Asia","Thailand","-0.20258823586321775"
"Asia","Vietnam","-0.197008694666785"
