"deaths_continent","deaths_location","correlation_coefficient"
"Asia","Afghanistan","0.85"
"Europe","Albania","0.55"
"Africa","Algeria","0.69"
"Oceania","American Samoa","0.37"
"Europe","Andorra","0.19"
"Africa","Angola","0.45"
"North America","Anguilla","0.29"
"North America","Antigua and Barbuda","0.45"
"South America","Argentina","0.52"
"Asia","Armenia","0.63"
"North America","Aruba","0.10"
"Oceania","Australia","0.13"
"Europe","Austria","0.17"
"Asia","Azerbaijan","0.79"
"North America","Bahamas","0.17"
"Asia","Bahrain","0.28"
"Asia","Bangladesh","0.80"
"North America","Barbados","0.29"
"Europe","Belarus","0.72"
"Europe","Belgium","0.09"
"North America","Belize","0.33"
"Africa","Benin","0.68"
"North America","Bermuda","0.28"
"Asia","Bhutan","0.40"
"South America","Bolivia","0.17"
"North America","Bonaire Sint Eustatius and Saba","0.37"
"Europe","Bosnia and Herzegovina","0.70"
"Africa","Botswana","0.49"
"South America","Brazil","0.58"
"North America","British Virgin Islands","0.26"
"Asia","Brunei","0.17"
"Europe","Bulgaria","0.70"
"Africa","Burkina Faso","0.48"
"Africa","Burundi","0.01"
"Asia","Cambodia","0.79"
"Africa","Cameroon","0.89"
"North America","Canada","0.51"
"Africa","Cape Verde","0.41"
"North America","Cayman Islands","0.30"
"Africa","Central African Republic","0.42"
"Africa","Chad","0.38"
"South America","Chile","0.07"
"Asia","China","0.34"
"South America","Colombia","0.86"
"Africa","Comoros","0.44"
"Africa","Congo","0.50"
"Oceania","Cook Islands","0.17"
"North America","Costa Rica","0.55"
"Africa","Cote d'Ivoire","0.33"
"Europe","Croatia","0.67"
"North America","Cuba","0.95"
"North America","Curacao","0.46"
"Europe","Cyprus","0.54"
"Europe","Czechia","0.47"
"Africa","Democratic Republic of Congo","0.14"
"Europe","Denmark","0.49"
"Africa","Djibouti","0.51"
"North America","Dominica","0.49"
"North America","Dominican Republic","0.21"
"South America","Ecuador","0.05"
"Africa","Egypt","0.81"
"North America","El Salvador","0.12"
"Africa","Equatorial Guinea","0.16"
"Africa","Eritrea","0.29"
"Europe","Estonia","0.39"
"Africa","Eswatini","0.44"
"Africa","Ethiopia","0.58"
"Europe","Faeroe Islands","0.30"
"Oceania","Fiji","0.60"
"Europe","Finland","0.72"
"Europe","France","0.08"
"South America","French Guiana","0.29"
"Oceania","French Polynesia","0.44"
"Africa","Gabon","0.62"
"Africa","Gambia","0.18"
"Asia","Georgia","0.55"
"Europe","Germany","0.26"
"Africa","Ghana","0.17"
"Europe","Gibraltar","0.14"
"Europe","Greece","0.71"
"North America","Greenland","0.13"
"North America","Grenada","0.32"
"North America","Guadeloupe","0.37"
"Oceania","Guam","0.26"
"North America","Guatemala","0.48"
"Europe","Guernsey","0.26"
"Africa","Guinea","0.50"
"Africa","Guinea-Bissau","0.29"
"South America","Guyana","0.50"
"North America","Haiti","0.46"
"North America","Honduras","0.67"
"Europe","Hungary","0.68"
"Europe","Iceland","0.13"
"Asia","India","0.76"
"Asia","Indonesia","0.68"
"Asia","Iran","0.75"
"Asia","Iraq","0.63"
"Europe","Ireland","0.16"
"Europe","Isle of Man","0.22"
"Asia","Israel","0.52"
"Europe","Italy","0.20"
"North America","Jamaica","0.43"
"Asia","Japan","0.72"
"Europe","Jersey","0.11"
"Asia","Jordan","0.57"
"Asia","Kazakhstan","0.15"
"Africa","Kenya","0.54"
"Oceania","Kiribati","0.07"
"Europe","Kosovo","0.41"
"Asia","Kuwait","0.38"
"Asia","Kyrgyzstan","0.39"
"Asia","Laos","0.55"
"Europe","Latvia","0.38"
"Asia","Lebanon","0.49"
"Africa","Lesotho","0.40"
"Africa","Liberia","0.49"
"Africa","Libya","0.65"
"Europe","Liechtenstein","0.14"
"Europe","Lithuania","0.47"
"Europe","Luxembourg","0.19"
"Africa","Madagascar","0.85"
"Africa","Malawi","0.74"
"Asia","Malaysia","0.68"
"Asia","Maldives","0.43"
"Africa","Mali","0.31"
"Europe","Malta","0.36"
"Oceania","Marshall Islands","0.59"
"North America","Martinique","0.29"
"Africa","Mauritania","0.12"
"Africa","Mauritius","0.29"
"Africa","Mayotte","0.19"
"North America","Mexico","0.29"
"Oceania","Micronesia (country)","0.62"
"Europe","Moldova","0.46"
"Europe","Monaco","0.20"
"Asia","Mongolia","0.69"
"Europe","Montenegro","0.47"
"North America","Montserrat","0.26"
"Africa","Morocco","0.76"
"Africa","Mozambique","0.66"
"Asia","Myanmar","0.83"
"Africa","Namibia","0.59"
"Oceania","Nauru","0.11"
"Asia","Nepal","0.76"
"Europe","Netherlands","0.02"
"Oceania","New Caledonia","0.21"
"Oceania","New Zealand","0.63"
"North America","Nicaragua","0.59"
"Africa","Niger","0.19"
"Africa","Nigeria","0.46"
"Europe","North Macedonia","0.67"
"Oceania","Northern Mariana Islands","0.22"
"Europe","Norway","0.01"
"Asia","Oman","0.58"
"Asia","Pakistan","0.78"
"Oceania","Palau","0.11"
"Asia","Palestine","0.55"
"North America","Panama","0.39"
"Oceania","Papua New Guinea","0.25"
"South America","Paraguay","0.59"
"South America","Peru","0.26"
"Asia","Philippines","0.45"
"Europe","Poland","0.68"
"Europe","Portugal","0.24"
"North America","Puerto Rico","0.26"
"Asia","Qatar","0.26"
"Africa","Reunion","0.80"
"Europe","Romania","0.53"
"Europe","Russia","0.46"
"Africa","Rwanda","0.71"
"North America","Saint Barthelemy","0.05"
"North America","Saint Kitts and Nevis","0.13"
"North America","Saint Lucia","0.24"
"North America","Saint Martin (French part)","0.13"
"North America","Saint Pierre and Miquelon","0.18"
"North America","Saint Vincent and the Grenadines","0.28"
"Oceania","Samoa","0.70"
"Europe","San Marino","0.16"
"Africa","Sao Tome and Principe","0.26"
"Asia","Saudi Arabia","0.51"
"Africa","Senegal","0.40"
"Europe","Serbia","0.69"
"Africa","Seychelles","0.16"
"Africa","Sierra Leone","0.37"
"Asia","Singapore","0.45"
"North America","Sint Maarten (Dutch part)","0.09"
"Europe","Slovakia","0.35"
"Europe","Slovenia","0.34"
"Oceania","Solomon Islands","0.30"
"Africa","Somalia","0.70"
"Africa","South Africa","0.64"
"Asia","South Korea","0.87"
"Africa","South Sudan","0.35"
"Europe","Spain","0.21"
"Asia","Sri Lanka","0.85"
"Africa","Sudan","0.14"
"South America","Suriname","0.53"
"Europe","Sweden","0.26"
"Europe","Switzerland","0.14"
"Asia","Syria","0.85"
"Asia","Tajikistan","0.48"
"Africa","Tanzania","0.98"
"Asia","Thailand","0.77"
"Asia","Timor","0.56"
"Africa","Togo","0.33"
"Oceania","Tonga","0.31"
"North America","Trinidad and Tobago","0.78"
"Africa","Tunisia","0.57"
"Asia","Turkey","0.60"
"North America","Turks and Caicos Islands","0.25"
"Africa","Uganda","0.09"
"Europe","Ukraine","0.72"
"Asia","United Arab Emirates","0.69"
"Europe","United Kingdom","0.11"
"North America","United States","0.58"
"North America","United States Virgin Islands","0.15"
