"continent","country","total_cases_reported","total_population","population_infected_percentage"
"Europe","Cyprus","658450","896007","73.49"
"Europe","San Marino","24132","33690","71.63"
"Europe","Austria","6065711","8939617","67.85"
"Europe","Faeroe Islands","34658","53117","65.25"
"Asia","Brunei","288051","449002","64.15"
"Europe","Slovenia","1343485","2119843","63.38"
"Europe","Gibraltar","20550","32677","62.89"
"North America","Martinique","229900","367512","62.56"
"Asia","South Korea","31176660","51815808","60.17"
"Europe","Andorra","47974","79843","60.09"
"Europe","Jersey","66391","110796","59.92"
"North America","Saint Pierre and Miquelon","3426","5885","58.22"
"Europe","Denmark","3411909","5882259","58.00"
"Europe","Greece","6018544","10384972","57.95"
"Europe","France","38930489","67813000","57.41"
"Europe","Iceland","209191","372903","56.10"
"Europe","Guernsey","35326","63329","55.78"
"Europe","Liechtenstein","21464","39355","54.54"
"Europe","Portugal","5581619","10270857","54.34"
"Europe","Latvia","977667","1850654","52.83"
"North America","Guadeloupe","202653","395762","51.21"
"Asia","Israel","4822313","9449000","51.04"
"Africa","Reunion","494595","974062","50.78"
"South America","Falkland Islands","1923","3801","50.59"
"Europe","Switzerland","4402432","8740471","50.37"
"North America","Saint Barthelemy","5486","10994","49.90"
"Europe","Luxembourg","319959","647601","49.41"
"Asia","Georgia","1840187","3744385","49.15"
"Europe","Netherlands","8610372","17564020","49.02"
"Europe","Lithuania","1318513","2750058","47.94"
"Africa","Seychelles","50937","107135","47.54"
"Asia","Bahrain","696614","1472237","47.32"
"Europe","Estonia","618173","1326064","46.62"
"Europe","Montenegro","289292","627082","46.13"
"Europe","Germany","38403667","83369840","46.06"
"Europe","Monaco","16749","36491","45.90"
"North America","Cayman Islands","31472","68722","45.80"
"Europe","Isle of Man","38008","84534","44.96"
"Europe","Czechia","4640354","10493990","44.22"
"North America","Bonaire Sint Eustatius and Saba","11885","27052","43.93"
"Europe","Italy","25788387","59037472","43.68"
"Oceania","New Zealand","2251440","5185289","43.42"
"Oceania","Australia","11210651","26177410","42.83"
"Oceania","Nauru","5393","12691","42.49"
"Asia","Singapore","2368597","5637022","42.02"
"Oceania","Cook Islands","7062","17032","41.46"
