"month","monthly_deaths"
"2020-01-01 00:00:00+05:30","235034"
"2020-02-01 00:00:00+05:30","247374"
"2020-03-01 00:00:00+05:30","432745"
"2020-04-01 00:00:00+05:30","793384"
"2020-05-01 00:00:00+05:30","648362"
"2020-06-01 00:00:00+05:30","629849"
"2020-07-01 00:00:00+05:30","749540"
"2020-08-01 00:00:00+05:30","729413"
"2020-09-01 00:00:00+05:30","648273"
"2020-10-01 00:00:00+05:30","750399"
"2020-11-01 00:00:00+05:30","1081510"
"2020-12-01 00:00:00+05:30","1232972"
"2021-01-01 00:00:00+05:30","1668279"
"2021-02-01 00:00:00+05:30","1148234"
"2021-03-01 00:00:00+05:30","1252723"
"2021-04-01 00:00:00+05:30","1456757"
"2021-05-01 00:00:00+05:30","1402237"
"2021-06-01 00:00:00+05:30","1077214"
"2021-07-01 00:00:00+05:30","1181640"
"2021-08-01 00:00:00+05:30","1255662"
"2021-09-01 00:00:00+05:30","1077504"
"2021-10-01 00:00:00+05:30","1063553"
"2021-11-01 00:00:00+05:30","1042212"
"2021-12-01 00:00:00+05:30","1019945"
"2022-01-01 00:00:00+05:30","872688"
"2022-02-01 00:00:00+05:30","804421"
"2022-03-01 00:00:00+05:30","611764"
"2022-04-01 00:00:00+05:30","374892"
"2022-05-01 00:00:00+05:30","299857"
"2022-06-01 00:00:00+05:30","281507"
"2022-07-01 00:00:00+05:30","356492"
"2022-08-01 00:00:00+05:30","344502"
"2022-09-01 00:00:00+05:30","299625"
"2022-10-01 00:00:00+05:30","307491"
"2022-11-01 00:00:00+05:30","282753"
"2022-12-01 00:00:00+05:30","408075"
"2023-01-01 00:00:00+05:30","267545"
"2023-02-01 00:00:00+05:30","122621"
"2023-03-01 00:00:00+05:30","115667"
"2023-04-01 00:00:00+05:30","91934"
"2023-05-01 00:00:00+05:30","31723"
"2023-06-01 00:00:00+05:30","40027"
"2023-07-01 00:00:00+05:30","28753"
"2023-08-01 00:00:00+05:30","27683"
"2023-09-01 00:00:00+05:30","42342"
"2023-10-01 00:00:00+05:30","40246"
"2023-11-01 00:00:00+05:30","36707"
"2023-12-01 00:00:00+05:30","23139"
