"deaths_location","deaths_continent","month","population","people_vaccinated","new_cases","vaccinated_reinfection_rate","unvaccinated_reinfection_rate","reinfection_difference"
"Afghanistan","Asia","2022-11-01 00:00:00+05:30","41128772","10987211","92","24.58","67.42","42.85"
"Albania","Europe","2021-10-01 00:00:00+05:30","2842318","1040015","230","84.16","145.84","61.68"
"Albania","Europe","2021-11-01 00:00:00+05:30","2842318","1042227","770","282.35","487.65","205.31"
"Albania","Europe","2021-12-01 00:00:00+05:30","2842318","1102621","352","123.62","214.88","91.25"
"Albania","Europe","2022-11-01 00:00:00+05:30","2842318","1342243","30","14.17","15.83","1.67"
"Andorra","Europe","2021-12-01 00:00:00+05:30","79843","56628","0","0.00","0.00","0.00"
"Angola","Africa","2021-11-01 00:00:00+05:30","35588996","5802574","0","0.00","0.00","0.00"
"Anguilla","North America","2021-12-01 00:00:00+05:30","15877","9624","0","0.00","0.00","0.00"
"Antigua and Barbuda","North America","2021-10-01 00:00:00+05:30","93772","61921","0","0.00","0.00","0.00"
"Argentina","South America","2021-10-01 00:00:00+05:30","45510324","37944598","4044","1632.68","371.65","-1261.02"
"Argentina","South America","2021-11-01 00:00:00+05:30","45510324","37973530","2171","1131.05","277.28","-853.77"
"Argentina","South America","2021-12-01 00:00:00+05:30","45510324","37986950","1788","1266.26","363.07","-903.20"
"Argentina","South America","2022-10-01 00:00:00+05:30","45510324","41402532","0","0.00","0.00","0.00"
"Argentina","South America","2022-11-01 00:00:00+05:30","45510324","41402559","27119","8223.75","815.92","-7407.82"
"Argentina","South America","2022-12-01 00:00:00+05:30","45510324","41403784","0","0.00","0.00","0.00"
"Armenia","Asia","2021-11-01 00:00:00+05:30","2780472","344029","601","74.36","526.64","452.28"
"Armenia","Asia","2021-12-01 00:00:00+05:30","2780472","869750","133","41.60","91.40","49.79"
"Aruba","North America","2021-10-01 00:00:00+05:30","106459","83936","21","6.82","1.85","-4.97"
"Aruba","North America","2021-11-01 00:00:00+05:30","106459","83125","14","10.93","3.07","-7.86"
"Aruba","North America","2021-12-01 00:00:00+05:30","106459","83183","0","0.00","0.00","0.00"
"Aruba","North America","2022-10-01 00:00:00+05:30","106459","90106","44","12.40","2.27","-10.13"
"Aruba","North America","2022-11-01 00:00:00+05:30","106459","90016","0","0.00","0.00","0.00"
"Aruba","North America","2022-12-01 00:00:00+05:30","106459","90110","0","0.00","0.00","0.00"
