"continent","location","max","population","cumulative_vaccination_rate_percentage"
"Africa","Algeria","7840131","44903228","17.46"
"Africa","Angola","15708883","35588996","44.14"
"Africa","Benin","3697190","13352864","27.69"
"Africa","Botswana","1950403","2630300","74.15"
"Africa","Burkina Faso","5152110","22673764","22.72"
"Africa","Burundi","34859","12889583","0.27"
"Africa","Cameroon","3643773","27914542","13.05"
"Africa","Cape Verde","356734","593162","60.14"
"Africa","Central African Republic","2381935","5579148","42.69"
"Africa","Chad","6254729","17723312","35.29"
"Africa","Comoros","438825","836783","52.44"
"Africa","Congo","695760","5970430","11.65"
"Africa","Cote d'Ivoire","13568372","28160548","48.18"
"Africa","Democratic Republic of Congo","15388889","99010216","15.54"
"Africa","Djibouti","372077","1120851","33.20"
"Africa","Egypt","56709060","110990096","51.09"
"Africa","Equatorial Guinea","270109","1674916","16.13"
"Africa","Eswatini","526050","1201680","43.78"
"Africa","Ethiopia","43896866","123379928","35.58"
"Africa","Gabon","311244","2388997","13.03"
"Africa","Gambia","674314","2705995","24.92"
"Africa","Ghana","13221421","33475870","39.50"
"Africa","Guinea","7679918","13859349","55.41"
"Africa","Guinea-Bissau","733271","2105580","34.83"
"Africa","Kenya","14494372","54027484","26.83"
"Africa","Lesotho","1014073","2305826","43.98"
"Africa","Liberia","3903802","5302690","73.62"
"Africa","Libya","2316327","6812344","34.00"
"Africa","Madagascar","2556731","29611718","8.63"
"Africa","Malawi","4856085","20405318","23.80"
"Africa","Mali","4271977","22593598","18.91"
"Africa","Mauritania","2101025","4736146","44.36"
"Africa","Mauritius","1123773","1299478","86.48"
"Africa","Morocco","25020092","37457976","66.80"
"Africa","Mozambique","19939353","32969520","60.48"
"Africa","Namibia","615707","2567024","23.99"
"Africa","Niger","6217508","26207982","23.72"
"Africa","Nigeria","82325196","218541216","37.67"
"Africa","Rwanda","10572981","13776702","76.75"
"Africa","Saint Helena","4361","5401","80.74"
"Africa","Sao Tome and Principe","140256","227393","61.68"
"Africa","Senegal","2684696","17316452","15.50"
"Africa","Seychelles","88520","107135","82.62"
"Africa","Sierra Leone","5113414","8605723","59.42"
"Africa","Somalia","8370355","17597508","47.57"
"Africa","South Africa","24165157","59893884","40.35"
"Africa","South Sudan","4124509","10913172","37.79"
"Africa","Sudan","15207452","46874200","32.44"
"Africa","Tanzania","34434933","65497752","52.57"
"Africa","Togo","2246404","8848700","25.39"
"Africa","Tunisia","7218476","12356116","58.42"
"Africa","Uganda","19488104","47249588","41.25"
"Africa","Zambia","11637730","20017670","58.14"
"Africa","Zimbabwe","6437808","16320539","39.45"
"Asia","Afghanistan","14790567","41128772","35.96"
"Asia","Armenia","1130844","2780472","40.67"
"Asia","Azerbaijan","5373253","10358078","51.88"
"Asia","Bahrain","1241174","1472237","84.31"
"Asia","Bangladesh","151322070","171186368","88.40"
"Asia","Bhutan","699116","782457","89.35"
"Asia","Brunei","451032","449002","100.45"
"Asia","Cambodia","15285058","16767851","91.16"
"Asia","China","1310292000","1425887360","91.89"
"Asia","Georgia","1654504","3744385","44.19"
"Asia","Hong Kong","6915787","7488863","92.35"
"Asia","India","1027405499","1417173120","72.50"
"Asia","Indonesia","203657535","275501344","73.92"
"Asia","Iran","65174475","88550568","73.60"
"Asia","Iraq","11332925","44496124","25.47"
"Asia","Israel","6723119","9449000","71.15"
"Asia","Japan","104705133","123951696","84.47"
"Asia","Jordan","4821579","11285875","42.72"
"Asia","Kazakhstan","10858101","19397998","55.98"
"Asia","Kuwait","3456874","4268886","80.98"
"Asia","Kyrgyzstan","1674622","6630621","25.26"
"Asia","Laos","5888649","7529477","78.21"
"Asia","Lebanon","2740227","5489744","49.92"
"Asia","Macao","679703","695180","97.77"
"Asia","Malaysia","28135109","33938216","82.90"
"Asia","Maldives","399283","523798","76.23"
