"formatted_date","continent","location","new_vaccinations"
"2021-05-27","Asia","Afghanistan","2859"
"2021-06-03","Asia","Afghanistan","4015"
"2022-01-27","Asia","Afghanistan","6868"
"2022-04-27","Asia","Afghanistan","383"
"2022-11-02","Asia","Afghanistan","36587"
"2022-11-16","Asia","Afghanistan","14800"
"2022-12-09","Asia","Afghanistan","9447"
"2023-04-25","Asia","Afghanistan","3316"
"2021-01-13","Europe","Albania","60"
"2021-01-14","Europe","Albania","78"
"2021-01-15","Europe","Albania","42"
"2021-01-16","Europe","Albania","61"
"2021-01-17","Europe","Albania","36"
"2021-01-18","Europe","Albania","42"
"2021-01-19","Europe","Albania","36"
"2021-01-20","Europe","Albania","36"
"2021-01-21","Europe","Albania","30"
"2021-02-18","Europe","Albania","1348"
"2021-02-19","Europe","Albania","1128"
"2021-03-23","Europe","Albania","3461"
"2021-03-24","Europe","Albania","2302"
"2021-03-25","Europe","Albania","5356"
"2021-03-26","Europe","Albania","2900"
"2021-03-27","Europe","Albania","1827"
"2021-03-28","Europe","Albania","13925"
"2021-03-31","Europe","Albania","19525"
"2021-04-01","Europe","Albania","16617"
"2021-04-02","Europe","Albania","17023"
"2021-04-03","Europe","Albania","13010"
"2021-04-04","Europe","Albania","7386"
"2021-04-05","Europe","Albania","13826"
"2021-04-06","Europe","Albania","14880"
"2021-04-07","Europe","Albania","10791"
"2021-04-08","Europe","Albania","10163"
"2021-04-09","Europe","Albania","8134"
"2021-04-13","Europe","Albania","13685"
"2021-04-16","Europe","Albania","10134"
"2021-04-17","Europe","Albania","10218"
"2021-04-18","Europe","Albania","8065"
"2021-04-19","Europe","Albania","13029"
"2021-04-20","Europe","Albania","4066"
"2021-04-21","Europe","Albania","22075"
"2021-04-22","Europe","Albania","10923"
"2021-04-23","Europe","Albania","8353"
"2021-04-24","Europe","Albania","8713"
"2021-04-27","Europe","Albania","8236"
"2021-04-28","Europe","Albania","16773"
"2021-04-29","Europe","Albania","19620"
"2021-04-30","Europe","Albania","23655"
"2021-05-01","Europe","Albania","17125"
"2021-05-04","Europe","Albania","19886"
"2021-05-05","Europe","Albania","19197"
"2021-05-06","Europe","Albania","15642"
"2021-05-07","Europe","Albania","13467"
"2021-05-08","Europe","Albania","11073"
"2021-05-09","Europe","Albania","3234"
"2021-05-13","Europe","Albania","5662"
"2021-05-14","Europe","Albania","14992"
"2021-05-18","Europe","Albania","8864"
"2021-05-19","Europe","Albania","8864"
"2021-05-20","Europe","Albania","5932"
"2021-05-21","Europe","Albania","5103"
"2021-05-24","Europe","Albania","8519"
"2021-05-27","Europe","Albania","10057"
"2021-05-31","Europe","Albania","4257"
"2021-06-01","Europe","Albania","3881"
"2021-06-07","Europe","Albania","5058"
"2021-06-08","Europe","Albania","6310"
"2021-06-09","Europe","Albania","6564"
"2021-06-13","Europe","Albania","1562"
"2021-06-14","Europe","Albania","6105"
"2021-06-15","Europe","Albania","5895"
"2021-06-16","Europe","Albania","5797"
"2021-06-17","Europe","Albania","8401"
"2021-06-21","Europe","Albania","9140"
"2021-06-22","Europe","Albania","11377"
"2021-06-23","Europe","Albania","11445"
"2021-06-24","Europe","Albania","10012"
"2021-06-29","Europe","Albania","12059"
"2021-06-30","Europe","Albania","12536"
"2021-07-01","Europe","Albania","6452"
"2021-07-02","Europe","Albania","7013"
"2021-07-05","Europe","Albania","5531"
"2021-07-06","Europe","Albania","5982"
"2021-07-07","Europe","Albania","5600"
"2021-07-08","Europe","Albania","5634"
"2021-07-09","Europe","Albania","5257"
"2021-07-13","Europe","Albania","6433"
