"continent","country","total_vaccinations_adminitered"
"Africa","Nigeria","116606863"
"Africa","Egypt","112284725"
"Africa","Morocco","55388882"
"Africa","Ethiopia","53805400"
"Africa","Tanzania","39392419"
"Africa","South Africa","38813021"
"Africa","Mozambique","29457535"
"Africa","Uganda","26406936"
"Africa","Rwanda","26106436"
"Africa","Angola","25316586"
"Africa","Cote d'Ivoire","25263932"
"Africa","Kenya","23750431"
"Africa","Sudan","22598737"
"Africa","Ghana","22384226"
"Africa","Democratic Republic of Congo","16398195"
"Africa","Algeria","15267442"
"Africa","Tunisia","13248846"
"Africa","Zambia","12792112"
"Africa","Zimbabwe","12222754"
"Africa","Guinea","10645240"
"Africa","Somalia","9443849"
"Africa","Chad","8543941"
"Africa","Malawi","7651179"
"Africa","Sierra Leone","7548308"
"Africa","Niger","7339299"
"Africa","Burkina Faso","6674010"
"Africa","Mali","5793606"
"Africa","Cameroon","4716187"
"Africa","Liberia","4460668"
"Africa","Benin","4232541"
"Africa","South Sudan","4174929"
"Africa","Mauritania","4068530"
"Africa","Libya","3739158"
"Africa","Togo","3401991"
"Africa","Botswana","3171667"
"Africa","Senegal","2934309"
"Africa","Madagascar","2926203"
"Africa","Central African Republic","2893159"
"Africa","Mauritius","2614887"
"Africa","Gambia","1444492"
"Africa","Lesotho","1339097"
"Africa","Namibia","989412"
"Africa","Cape Verde","859940"
"Africa","Eswatini","852602"
"Africa","Comoros","835021"
"Africa","Congo","833210"
"Africa","Guinea-Bissau","810299"
"Africa","Gabon","572672"
"Africa","Equatorial Guinea","488738"
"Africa","Djibouti","392703"
"Africa","Sao Tome and Principe","262761"
"Africa","Seychelles","224558"
"Africa","Burundi","37126"
"Africa","Saint Helena","7892"
"Asia","China","3491077000"
"Asia","India","2206652521"
"Asia","Indonesia","444303130"
"Asia","Japan","383747738"
"Asia","Bangladesh","358011582"
"Asia","Pakistan","338612630"
"Asia","Vietnam","266128292"
"Asia","Philippines","170690206"
"Asia","Iran","155194752"
"Asia","Turkey","152543341"
"Asia","Thailand","142635014"
"Asia","South Korea","129647782"
"Asia","Uzbekistan","75807715"
"Asia","Malaysia","72618195"
"Asia","Saudi Arabia","68534631"
"Asia","Taiwan","67913330"
"Asia","Myanmar","64549994"
"Asia","Nepal","61476637"
"Asia","Cambodia","46895957"
"Asia","Sri Lanka","40116590"
