"continent","location","highest_case_count"
"North America","United States","103266404"
"Asia","China","99248443"
"Asia","India","44952996"
"Europe","France","38930489"
"Europe","Germany","38403667"
"South America","Brazil","37449418"
"Asia","Japan","33720739"
"Asia","South Korea","31176660"
"Europe","Italy","25788387"
"Europe","United Kingdom","24581706"
"Europe","Russia","22858855"
"Asia","Turkey","17004677"
"Europe","Spain","13825052"
"Asia","Vietnam","11561848"
"Oceania","Australia","11210651"
"South America","Argentina","10044957"
"Europe","Netherlands","8610372"
"Asia","Iran","7607744"
"North America","Mexico","7587447"
"Asia","Indonesia","6776984"
"Europe","Poland","6513979"
"South America","Colombia","6364636"
"Europe","Austria","6065711"
"Europe","Greece","6018544"
"Europe","Portugal","5581619"
"Europe","Ukraine","5529459"
"South America","Chile","5283908"
"Asia","Malaysia","5071840"
"Asia","Israel","4822313"
"Europe","Belgium","4793425"
"Asia","Thailand","4732301"
"North America","Canada","4659971"
"Europe","Czechia","4640354"
"South America","Peru","4501130"
"Europe","Switzerland","4402432"
"Asia","Philippines","4092158"
"Africa","South Africa","4072533"
"Europe","Denmark","3411909"
"Europe","Romania","3393902"
"Europe","Sweden","2706122"
"Europe","Serbia","2534886"
"Asia","Iraq","2465545"
"Asia","Singapore","2368597"
"Oceania","New Zealand","2251440"
"Europe","Hungary","2201355"
"Asia","Bangladesh","2038250"
"Europe","Slovakia","1866470"
"Asia","Georgia","1840187"
"Asia","Jordan","1746997"
"Europe","Ireland","1710302"
"Asia","Pakistan","1580631"
"Asia","Kazakhstan","1502667"
"Europe","Norway","1483222"
"Europe","Finland","1473603"
"Europe","Slovenia","1343485"
"Europe","Lithuania","1318513"
"Europe","Bulgaria","1304393"
"Africa","Morocco","1273463"
"Europe","Croatia","1272886"
"North America","Guatemala","1248171"
"Asia","Lebanon","1236702"
"North America","Costa Rica","1228659"
"South America","Bolivia","1197239"
"Africa","Tunisia","1152612"
"North America","Puerto Rico","1116823"
"North America","Cuba","1113088"
"Asia","United Arab Emirates","1062321"
"South America","Ecuador","1061100"
"South America","Uruguay","1037893"
"North America","Panama","1036733"
"Asia","Mongolia","1007970"
"Asia","Nepal","1003004"
"Europe","Belarus","994037"
"Europe","Latvia","977667"
"Asia","Saudi Arabia","840337"
"Asia","Azerbaijan","831386"
"South America","Paraguay","735759"
"Asia","Palestine","703228"
"Asia","Bahrain","696614"
"Asia","Sri Lanka","672177"
"Asia","Kuwait","665741"
"North America","Dominican Republic","661045"
"Europe","Cyprus","658450"
"Asia","Myanmar","635102"
"Europe","Moldova","620253"
"Europe","Estonia","618173"
"South America","Venezuela","552578"
"Africa","Egypt","515970"
"Africa","Libya","507250"
"Asia","Qatar","506323"
"Africa","Ethiopia","500837"
"Africa","Reunion","494595"
"North America","Honduras","472533"
"Asia","Armenia","449062"
"Europe","Bosnia and Herzegovina","402848"
"Asia","Oman","399449"
"Europe","North Macedonia","348142"
"Africa","Zambia","343910"
"Africa","Kenya","343060"
"Europe","Albania","334090"
"Africa","Botswana","329852"
"Europe","Luxembourg","319959"
"Africa","Mauritius","301096"
"Europe","Montenegro","289292"
"Asia","Brunei","288051"
"Europe","Kosovo","273852"
"Africa","Algeria","271719"
"Africa","Nigeria","266675"
"Africa","Zimbabwe","264685"
