"deaths_location","week_start","avg_weekly_cases","avg_weekly_deaths"
"World","2020-01-06","6.71","0.14"
"China","2020-01-06","6.29","0.14"
"Upper middle income","2020-01-06","6.29","0.14"
"Asia","2020-01-06","6.29","0.14"
"China","2020-01-13","11.43","0.29"
"World","2020-01-13","13.14","0.29"
"Upper middle income","2020-01-13","12.71","0.29"
"Asia","2020-01-13","13.00","0.29"
"China","2020-01-20","265.71","7.57"
"Asia","2020-01-20","269.14","7.57"
"World","2020-01-20","271.71","7.57"
"Upper middle income","2020-01-20","267.00","7.57"
"High income","2020-01-27","11.14","0.14"
"China","2020-01-27","1775.14","43.57"
"United Kingdom","2020-01-27","0.14","0.14"
"Lower middle income","2020-01-27","2.86","0.14"
"Europe","2020-01-27","2.86","0.14"
"Upper middle income","2020-01-27","1779.14","43.57"
"Asia","2020-01-27","1788.43","43.71"
"Philippines","2020-01-27","0.14","0.14"
"World","2020-01-27","1793.14","43.86"
"Europe","2020-02-03","5.00","0.14"
"United Kingdom","2020-02-03","2.86","0.14"
"China","2020-02-03","3262.86","77.71"
"World","2020-02-03","3282.43","77.86"
"Asia","2020-02-03","3274.43","77.71"
"High income","2020-02-03","14.57","0.14"
"Upper middle income","2020-02-03","3265.86","77.71"
"China","2020-02-10","4476.14","123.14"
"Europe","2020-02-10","3.00","0.29"
"Upper middle income","2020-02-10","4478.71","123.14"
"European Union","2020-02-10","1.43","0.29"
"Asia","2020-02-10","4488.29","123.29"
"World","2020-02-10","4492.57","123.57"
"High income","2020-02-10","12.71","0.43"
"Japan","2020-02-10","3.86","0.14"
"Spain","2020-02-10","0.57","0.14"
"Europe","2020-02-17","12.57","0.43"
"South Korea","2020-02-17","75.14","0.43"
"World","2020-02-17","1323.57","98.57"
"High income","2020-02-17","107.14","0.86"
"Germany","2020-02-17","0.86","0.14"
"Lower middle income","2020-02-17","7.43","0.71"
"Iran","2020-02-17","6.71","0.71"
"European Union","2020-02-17","12.00","0.43"
"Asia","2020-02-17","1307.29","98.14"
"Italy","2020-02-17","10.86","0.29"
"Upper middle income","2020-02-17","1209.00","97.00"
"China","2020-02-17","1208.29","97.00"
"United Kingdom","2020-02-24","4.71","0.14"
"South Korea","2020-02-24","424.29","2.00"
"Japan","2020-02-24","15.29","0.71"
"Thailand","2020-02-24","2.40","0.14"
"Upper middle income","2020-02-24","425.57","61.14"
"Europe","2020-02-24","207.43","4.14"
"United States","2020-02-24","4.71","0.14"
"China","2020-02-24","418.00","61.00"
"World","2020-02-24","1179.86","73.57"
"Asia","2020-02-24","964.86","69.29"
"France","2020-02-24","12.57","0.14"
"Iran","2020-02-24","78.57","5.43"
"European Union","2020-02-24","192.71","4.00"
"Italy","2020-02-24","149.86","3.86"
"North America","2020-02-24","6.43","0.14"
"Lower middle income","2020-02-24","81.14","5.43"
"High income","2020-02-24","672.43","7.00"
"China","2020-03-02","127.29","32.57"
"Italy","2020-03-02","679.29","29.14"
"United Kingdom","2020-03-02","44.43","0.86"
"European Union","2020-03-02","1124.86","33.29"
"Europe","2020-03-02","1252.86","34.57"
"Iraq","2020-03-02","5.86","0.57"
"Germany","2020-03-02","119.14","1.57"
"San Marino","2020-03-02","3.86","0.14"
"Finland","2020-03-02","2.86","0.14"
"Oceania","2020-03-02","7.00","0.57"
"Spain","2020-03-02","110.86","1.00"
"Egypt","2020-03-02","6.86","0.14"
"Switzerland","2020-03-02","45.71","0.29"
"Netherlands","2020-03-02","18.43","0.14"
"Argentina","2020-03-02","3.14","0.14"
"Ireland","2020-03-02","2.43","0.14"
"France","2020-03-02","86.57","1.14"
"South Korea","2020-03-02","515.43","4.71"
"Peru","2020-03-02","1.29","0.14"
"Lower middle income","2020-03-02","878.86","22.43"
"South America","2020-03-02","9.71","0.29"
"Upper middle income","2020-03-02","166.14","33.43"
"Iran","2020-03-02","853.29","21.57"
"World","2020-03-02","2937.57","98.29"
"Asia","2020-03-02","1586.86","59.43"
"North America","2020-03-02","68.57","2.57"
"Australia","2020-03-02","6.43","0.57"
"High income","2020-03-02","1890.57","42.43"
"United States","2020-03-02","55.86","2.57"
"Africa","2020-03-02","12.43","0.86"
"Bulgaria","2020-03-09","5.57","0.29"
"Austria","2020-03-09","73.29","0.14"
"Germany","2020-03-09","795.14","10.00"
"France","2020-03-09","536.86","11.57"
"Netherlands","2020-03-09","115.00","1.29"
"Spain","2020-03-09","1097.14","33.57"
"Sweden","2020-03-09","116.43","0.43"
"Lower middle income","2020-03-09","1154.00","78.86"
"Greece","2020-03-09","23.14","0.43"
"South America","2020-03-09","48.86","1.57"
"North America","2020-03-09","551.43","7.57"
"Egypt","2020-03-09","8.71","0.14"
"High income","2020-03-09","7022.29","256.14"
"Argentina","2020-03-09","15.57","1.14"
"Guyana","2020-03-09","0.14","0.14"
"India","2020-03-09","9.71","0.29"
"San Marino","2020-03-09","7.14","0.57"
"Finland","2020-03-09","35.86","0.14"
"United Kingdom","2020-03-09","271.57","6.57"
"Indonesia","2020-03-09","18.50","0.57"
"Lebanon","2020-03-09","11.00","0.43"
"Belgium","2020-03-09","149.43","1.14"
"Denmark","2020-03-09","114.86","0.29"
"Norway","2020-03-09","168.71","0.14"
"Iran","2020-03-09","1059.57","75.71"
"Morocco","2020-03-09","3.71","0.14"
"Ukraine","2020-03-09","0.29","0.14"
"Luxembourg","2020-03-09","5.29","0.14"
"European Union","2020-03-09","5401.71","232.71"
"United States","2020-03-09","495.00","7.14"
"South Korea","2020-03-09","146.86","3.57"
"World","2020-03-09","8364.29","352.57"
"Iraq","2020-03-09","9.14","0.71"
"Canada","2020-03-09","17.86","0.14"
"Oceania","2020-03-09","26.43","0.43"
"Low income","2020-03-09","4.00","0.14"
"Switzerland","2020-03-09","286.86","2.57"
"Ireland","2020-03-09","10.29","0.14"
"Peru","2020-03-09","5.43","0.29"
"Cayman Islands","2020-03-09","0.14","0.14"
"Australia","2020-03-09","25.57","0.43"
"Upper middle income","2020-03-09","180.14","17.43"
"Poland","2020-03-09","13.86","0.43"
"China","2020-03-09","27.00","14.71"
"Albania","2020-03-09","4.71","0.14"
"Asia","2020-03-09","1524.43","99.71"
"Panama","2020-03-09","3.86","0.14"
"Africa","2020-03-09","34.71","0.43"
"Europe","2020-03-09","6178.43","242.86"
"Philippines","2020-03-09","15.00","1.43"
"Japan","2020-03-09","46.43","2.29"
"Italy","2020-03-09","2182.00","172.57"
"Sudan","2020-03-09","0.14","0.14"
"Slovenia","2020-03-09","28.57","0.14"
"Belgium","2020-03-16","444.43","20.00"
"France","2020-03-16","1404.57","67.29"
"Sweden","2020-03-16","125.00","5.00"
"Guatemala","2020-03-16","1.57","0.14"
"Morocco","2020-03-16","10.29","0.29"
"South Korea","2020-03-16","105.00","4.14"
"Turkey","2020-03-16","134.43","3.00"
"Germany","2020-03-16","3017.29","59.00"
"Greece","2020-03-16","43.14","1.43"
"Azerbaijan","2020-03-16","6.00","0.14"
"Serbia","2020-03-16","17.86","0.14"
"Puerto Rico","2020-03-16","6.29","0.29"
"Lebanon","2020-03-16","20.71","0.14"
"Bahrain","2020-03-16","14.57","0.14"
"Luxembourg","2020-03-16","87.00","0.71"
